PairID	type	plink.IBD.PI_HAT
E660.14-S51482.T	QCarray	0
E660.14-E337.2	QCarray	0.0572
E660.14-E337.03	QCarray	0.0493
E660.14-E337.07	QCarray	0
E660.14-E540.20	QCarray	0.0593
E373.57-E373.59	QCarray	0
E373.57-E373.65	QCarray	0
E373.57-E389.47	QCarray	0.0418
E373.57-E337.9	QCarray	0
E373.57-E775.02	QCarray	0
E373.57-E775.04	QCarray	0
E373.57-E660.12	QCarray	0.1632
E373.57-E772.13	QCarray	0
E373.57-E660.11	QCarray	0.1406
E373.57-E772.16	QCarray	0
E373.57-E660.10	QCarray	0.0675
E373.57-E620.10	QCarray	0
E373.57-E741.18	QCarray	0.0347
E373.57-E620.09	QCarray	0
E373.57-E731.01	QCarray	0
E373.57-E775.13	QCarray	0.0152
E373.57-E500.24	QCarray	0
E373.57-S51423.T	QCarray	0
E373.57-S51425.T	QCarray	0
E373.57-S51434.T	QCarray	0.0457
E373.57-S51435.T	QCarray	0
E373.57-S51436.T	QCarray	0.0368
E373.57-S51445.T	QCarray	0
E373.57-S51446.T	QCarray	0.0562
E373.57-S51540.T	QCarray	0
E373.57-S51451.T	QCarray	0
E373.57-S51453.T	QCarray	0
E373.57-S51454.T	QCarray	0
E373.57-S51455.T	QCarray	0
E373.57-S51458.T	QCarray	0
E373.57-S51468.T	QCarray	0
E373.57-S51472.T	QCarray	0.037
E373.57-S51481.T	QCarray	0
E373.57-S51484.T	QCarray	0
E373.57-S51485.T	QCarray	0
E373.57-S51486.T	QCarray	0
E373.57-S51487.T	QCarray	0.0195
E373.57-S51417.T	QCarray	0
E373.57-S51418.T	QCarray	0.0219
E373.57-S51420.T	QCarray	0
E373.57-S51424.T	QCarray	0
E373.57-S51427.T	QCarray	0
E373.57-S51429.T	QCarray	0
E373.57-S51430.T	QCarray	0
E373.57-S51431.T	QCarray	0
E373.57-S51432.T	QCarray	0
E373.57-S51441.T	QCarray	0
E373.57-S51448.T	QCarray	0
E373.57-S51449.T	QCarray	0
E373.57-S51459.T	QCarray	0
E373.57-S51460.T	QCarray	0
E373.57-S51461.T	QCarray	0
E373.57-S51466.T	QCarray	0
E373.57-S51466.N	QCarray	0
E373.57-S51468.N	QCarray	0
E373.57-S51475.T	QCarray	0
E373.57-S51480.T	QCarray	0
E373.57-S51490.T	QCarray	0
E373.57-S51491.N	QCarray	0
E373.57-S51480.N	QCarray	0
E373.57-S51482.T	QCarray	0
E373.57-E337.2	QCarray	0.031
E373.57-E337.03	QCarray	0
E373.57-E337.07	QCarray	0
E373.57-E540.20	QCarray	0.0395
E373.59-E373.65	QCarray	0
E373.59-E389.47	QCarray	0
E373.59-E337.9	QCarray	0
E373.59-E775.02	QCarray	0
E373.59-E775.04	QCarray	0
E373.59-E660.12	QCarray	0.1885
E373.59-E772.13	QCarray	0
E373.59-E660.11	QCarray	0.1533
E373.59-E772.16	QCarray	0
E373.59-E660.10	QCarray	0
E373.59-E620.10	QCarray	0
E373.59-E741.18	QCarray	0
E373.59-E620.09	QCarray	0
E373.59-E731.01	QCarray	0
E373.59-E775.13	QCarray	0.0084
E373.59-E500.24	QCarray	0
E373.59-S51423.T	QCarray	0
